,Başlık,İçerik,Kategori
26,Siirt’te tüp kamyoneti devrildi: 2 yaralı,Siirt'te dolu tüplerin içinde olduğu kamyonetin devrilmesi sonucu meydana gelen kazada 2 kişi yaralandı.,Türkiye
27,Şanlıurfa'da gösteri ve yürüyüşler 5 gün yasaklandı,"Şanlıurfa Valiliği, kent genelinde gösteri ve yürüyüşlerin 2 Nisan'dan itibaren 5 gün süreyle yasaklandığını duyurdu.",Türkiye
28,Bakan Uraloğlu: Türkiye'de hiçbir ayrım yapmaksızın hizmet etmeye devam ettik,"Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, ""Türkiye'de hiçbir ayrım yapmaksızın 81 ilin her ilçesine ne lazımsa Cumhurbaşkanı'mızın liderliğinde AK Parti kadrolarımızla hizmet etmeye devam ettik. Siz, bize destek verdiğiniz müddetçe de hizmet etmeye devam edeceğiz"" dedi.",Türkiye
29,Sandık kurulu başkanlarına oy pusulaları verilmeye başlandı,"Edirne, Tekirdağ ve Kırklareli'nde il ve ilçe merkezi dışında kalan köy, mahalle ve beldelerde görev yapacak sandık kurulu başkanlarına malzeme torbaları verildi.",Türkiye
30,Manisa'da beyin ölümü gerçekleşen hastanın organları 5 kişiye umut oldu,"Manisa'da geçirdiği trafik kazası sonucu yaralanan ve tedavi gördüğü hastanede beyin ölümü gerçekleşen hastanın organları, 5 kişiye nakledilecek.",Türkiye
31,Baharda metrelerce karla mücadele devam ediyor,"Muş ve Hakkari'de karla mücadele ekipleri, metrelerce karın bulunduğu yollarda çalışmalarını sürdürdü.",Türkiye
32,Kocaeli'de kafe yangını: 2 kişi dumandan etkilendi,Kocaeli'nin İzmit ilçesinde kafeteryada çıkan yangında dumandan etkilenen 2 kişi ayakta tedavi edildi.,Türkiye
33,Hatay'da evin bahçesinde lahit bulundu,"Hatay'ın Defne ilçesinde, bir kişinin evinin bahçesinde bulunan lahit, incelenmek üzere Hatay Müze Müdürlüğü'ne götürüldü.",Türkiye
34,Bursa'da yanan villanın bodrumunda ceset bulundu,"Bursa'nın Osmangazi ilçesinde 3 katlı villada bir kişinin yaralandığı patlama ve yangın sonrası yapılan incelemede, bodrum katında ceset bulundu.",Türkiye
35,Ankara'da aranan 1130 kişi yakalandı,"Ankara Valiliği, polis ve jandarmanın operasyonlarında çeşitli suçlardan aranan 1130 kişinin yakalandığını duyurdu.",Türkiye
