,Başlık,İçerik,Kategori
24,TransAnatolia 14. yıl rotası Mersin’den Van’a,"TransAnatolia Rally Raid 2024 yılı takvimi belli oldu. TransAnatolia 14. yılında, 31 Ağustos-7 Eylül tarihleri arasında Mersin’de başlayıp, Van’da son bulacak.",Spor
25,Dört Büyükler finansal performansta en kötü 10 takım arasında,"Trendyol Süper Lig'in ""Dört Büyükler""i Beşiktaş, Trabzonspor, Galatasaray ve Fenerbahçe, finansal performans bakımından Avrupa'nın en kötü 10 takımı arasında yer aldı.",Spor
26,Bayern Münih kötü gidişi durduramıyor,"Deplasmanda Bochum'a 3-2 yenilen Bayern Münih, lider Bayer Leverkusen ile arasındaki puan farkı 8'e çıktı. Kırmızı beyazlı ekip böylece Bundesliga ve Şampiyonlar Ligi'nde son 9 gün içinde oynadığı 3 maçı da kaybederek taraftarlarını hayal kırıklığına uğrattı.",Spor
27,Gaziantep FK evinde kazanamıyor,"Trendyol Süper Lig'in 26. haftasında konuk ettiği Yılport Samsunspor ile 1-1 berabere kalan Gaziantep FK, iç sahada oynadığı son 8 maçı kazanamadı.",Spor
28,73. NBA All-Star maçını Doğu Karması kazandı,"Amerikan Basketbol Ligi'nin (NBA) 73. all-star maçında Doğu Karması, Batı Karması'nı 211-186 yendi.",Spor
29,GMG Kastamonuspor'da Levent Eriş dönemi sona erdi,"TFF 2. Lig Kırmızı Grup'ta mücadele eden GMG Kastamonuspor, teknik direktör Levent Eriş ile yollarını ayırma kararı aldı.",Spor
30,Motor tutkunu 12 yaşındaki Zeynep’in en büyük hayali pistlerde yarışmak,"Yozgat’ta babasına özenerek 4 yaşında motosiklet sürmeye başlayan 12 yaşındaki Zeynep Irgav, motosiklet tutkunu olan babasından aldığı sürüş eğitimleriyle motokros yarışlarına katılıp Türkiye şampiyonluğuna ulaşmayı hedefliyor.",Spor
31,Trabzonspor'da Thomas Meunier farkını gösterdi,"Trabzonspor'un devre arasında Bundesliga ekiplerinden Borussia Dortmund'dan transfer ettiği Thomas Meunier, 3 maçta 3 asist yaparak bordo-mavili takımın hücum hattına katkı sağladı.",Spor
32,Görme engelli milli judoculardan 2 madalya,"IBSA Judo Grand Prix'sinin Almanya ayağında mücadele eden Nazan Akın Güneş ve İbrahim Bölükbaşı, gümüş madalya kazandı.",Spor
33,Serbest Stil Güreş Milli Takımı 31 yıl sonra Avrupa şampiyonu oldu,"Serbest Stil Güreş Milli Takımı, 1993'ten bu yana ilk kez Avrupa şampiyonluğuna ulaştı.",Spor
34,"Bakan Bak, 11. kez Avrupa şampiyonu olan milli güreşçi Taha Akgül'ü tebrik etti","Gençlik ve Spor Bakanı Osman Aşkın Bak, serbest stil 125 kiloda Avrupa şampiyonluğuna ulaşan milli güreşçi Taha Akgül'ü, yayımladığı mesajla kutladı.",Spor
35,Türkiye Büyükler Ferdi Salon Atletizm Şampiyonası rekorlarla sona erdi,"Türkiye Büyükler Ferdi Salon Atletizm Şampiyonası, kırılan rekorlarla tamamlandı.",Spor
36,Taha Akgül 11. kez Avrupa Şampiyonu,"Milli güreşçi Taha Akgül, kariyerinin 11'inci Avrupa şampiyonluğuna ulaştı.",Spor
37,Dilara Narin'den 2 bronz madalya,"Milli halterci Dilara Narin, Bulgaristan'da düzenlenen Avrupa Şampiyonası'nda kadınlar 81 kiloda silkmede 125, toplamda da 222 kiloyla 2 bronz madalyanın sahibi oldu.",Spor
38,Feyzullah Aktürk üst üste 3. Avrupa şampiyonluğunu elde etti,"Avrupa Güreş Şampiyonası'nda mücadele eden Feyzullah Aktürk, serbest stil 92 kiloda altın madalya kazandı.",Spor
39,Abdullah Avcı: Oyunu domine ettik,"Trendyol Süper Lig'in 26. haftasında konuk olduğu Siltaş Yapı Pendikspor'u 2-0 yenen Trabzonspor'da teknik direktör Abdullah Avcı, 35. dakikadan sonra oyunu domine ettiklerini söyledi.",Spor
