,Başlık,İçerik,Kategori
24,Bakan Işıkhan: Artan refahtan emeklimize daha fazla pay vermeye devam edeceğiz,"Bakan Işıkhan, ""Emekli maaşlarının zammı memur emeklilerimizde toplu sözleşmeye göre, SSK ve Bağkur için de enflasyona göre şekilleniyor. İmkanlar doğrultusunda çoğu zaman bu tutarların çok daha üzerinde emeklilerimiz için adımlar attık. Ekonomimizi güçlü bir şekilde yükselttikçe artan refahtan emeklimize daha fazla pay vermeye devam edeceğiz"" dedi",Ekonomi
25,Borsa günü yükselişle tamamladı,"Borsa İstanbul'da BIST 100 endeksi, günü yüzde 3,10 değer kazanarak 9.079,97 puandan tamamladı.",Ekonomi
26,Emekli promosyonu protokol ile yükseldi,Sosyal Güvenlik Kurumu (SGK) aralarında özel bankaların da olduğu 19 bankayla yeni protokol imzaladı. Buna göre emeklilere ödenecek promosyonlar yaklaşık iki katına çıkarılarak 8-12 bin lira arasında değişecek.,Ekonomi
27,ABD'nin 2023'ün dördüncü çeyreğindeki büyüme oranı belli oldu,"ABD ekonomisi, 2023'ün dördüncü çeyreğinde yüzde 3,4 ile beklentilerin üzerinde büyüme kaydetti.",Ekonomi
28,"Merkez Bankası rezervleri 123,8 milyar dolar oldu","Türkiye Cumhuriyet Merkez Bankasının (TCMB) toplam rezervleri, 22 Mart haftasında bir önceki haftaya göre 4 milyar 53 milyon dolar azalışla 123 milyar 844 milyon dolara geriledi.",Ekonomi
29,"Ticaret Bakanlığı ""Jasmine"" bebekle ilgili toplatma verdi","Piyasaya sürdüğü ""Jasmine"" isimli oyuncak bebeğin, Ticaret Bakanlığınca güvensiz tespit edilmesi üzerine gazetelere bedeli karşılığında iade ilanı veren firma, oyuncaklarının mevzuatta belirtilen temel gerekleri sağlamadığını duyurdu.",Ekonomi
30,Borsa günün ilk yarısında yükseldi,"Borsa İstanbul'da BIST 100 endeksi, günün ilk yarısında yüzde 1,97 değer kazanarak 8.980,33 puana çıktı.",Ekonomi
31,"Çay üreticilerine 363,6 milyon lira destek ödemesi bugün yapılacak","Tarım ve Orman Bakanı İbrahim Yumaklı, 363 milyon 608 bin lira tutarında çay destekleme ödemesini üreticilerin hesaplarına bugün aktaracaklarını duyurdu.",Ekonomi
32,"Elektrik üretimi ocakta yüzde 8,8 arttı","Türkiye'nin lisanslı elektrik üretimi ocakta geçen senenin aynı ayına göre yüzde 8,8 artarak 28 milyon 549 bin 38 megavatsaat oldu. Üretiminde en büyük pay, yüzde 29,2 ile hidroelektrik santrallerinin oldu",Ekonomi
33,"Sosyal korumaya 2022'de yaklaşık 1,3 trilyon lira harcandı","Türkiye'de sosyal koruma harcamaları 2022'de bir önceki yıla göre yüzde 60,2 artışla 1 trilyon 291 milyar 77 milyon liraya ulaştı. En fazla yardım ise 567 milyar 450 milyon lira ile emeklilere ve yaşlılara yapıldı.",Ekonomi
34,"Geçen yıl en çok ""eczacılık ürünleri"" için patent başvurusu yapıldı","Türk Patent ve Marka Kurumu'na geçen yıl yapılan 19 bin 833 patent ve faydalı model başvurusunda ilk sırayı ""eczacılık ürünleri"" aldı.",Ekonomi
35,Türkiye buğday unu ihracatında 10 yıldır zirveyi bırakmıyor,"Dünya Bankası'nın son verilerine göre Türkiye, buğday unu ihracatında 2022 yılı itibarıyla 10 yıldır zirvede yer alıyor.",Ekonomi
