,Başlık,İçerik,Kategori
666,Keman virtüözü Suna Kan'ın cenazesi bugün toprağa verilecek,Devlet sanatçısı Suna Kan 87 yaşında hayatını kaybetti. Keman virtüözü bugün Ankara'da son yolculuğuna uğurlanacak.,Kültür Sanat
667,Devlet sanatçısı Prof. Dr. Suna Kan hayatını kaybetti,"Yeteneği küçük yaşta keşfedilen ve çevresi tarafından ""Harika çocuk"" olarak anılan dünyaca ünlü keman virtüözü Suna Kan, 87 yaşında hayatını kaybetti.",Kültür Sanat
668,Türk dünyasının romanlardaki sesi: Cengiz Aytmatov,"Yazdığı eserlerle Türk dünyasının sesi oldu. ""Dünyanın en güzel aşk hikayesi"" Cemile'de, ""İnsan her şeyi anlatamaz, zaten kelimeler de her şeyi anlatmaya yetmez"" diyen Kırgız yazar Cengiz Aytmatov'un vefatının 15'inci yılı.",Kültür Sanat
669,Yüzlerce yıllık eserler Cumhurbaşkanlığı Millet Kütüphanesi'nde şifa buluyor,"Asırlar süren tarihi yolculuğun yıprattığı eserler, Cumhurbaşkanlığı Millet Kütüphanesi'ndeki Kitap Şifahanesi'nde özel yöntemlerle onarıldıktan sonra kütüphanedeki yerini alıyor.",Kültür Sanat
670,Bu hafta 7 film vizyona girecek,"Sinema salonlarında bu hafta biri yerli, 7 film vizyona girecek.",Kültür Sanat
671,Depremde 7 üyesini kaybeden Antakya Medeniyetler Korosu Çorlu’da konser verdi,"Kahramanmaraş merkezli depremlerde 7 üyesini kaybeden Antakya Medeniyetler Korosu, Tekirdağ’ın Çorlu ilçesinde konser verdi.",Kültür Sanat
672,Milli Saraylar'ın emektar müdürü Dolmabahçe Sarayı'nı anlattı,"İstanbul'da yerli ve yabancı turistler tarafından en çok ziyaret edilen mekanlardan olan Dolmabahçe Sarayı'nın atıl vaziyetteki yapılarının 40 yıl önce yeniden düzenlenip turizme kazandırılmasına öncülük eden eski Milli Saraylar Müdürü İlhan Akşit, 1978'de başladığı görevi süresince Dolmabahçe Sarayı'na verdiği hizmetleri ve anılarını anlattı.",Kültür Sanat
673,"Türkiye'deki kütüphane sayısı bir önceki yıla göre yüzde 43,4 arttı","Türkiye'de faaliyet gösteren kütüphane sayısı geçen yıl bir önceki yıla göre yüzde 43,4 artarak 49 bin 537'ye yükseldi.",Kültür Sanat
674,Nurhan Damcıoğlu yaşamını yitirdi,"Türkiye'yi kantoyla tanıştıran Türk kantocu, ses sanatçısı, tiyatro ve sinema oyuncusu Nurhan Damcıoğlu, 82 yaşında İzmir'de hayatını kaybetti.",Kültür Sanat
675,Kapadokya'yı mayıs ayında 447 binden fazla turist gezdi,"Tarihi, kültürel ve doğal zenginlikleriyle bilinen Kapadokya'daki müze ve ören yerlerine geçen ay 447 bin 894 turist giriş yaptı.",Kültür Sanat
676,Dev gergedan fosiline ait yeni kemikler bulundu,"Maden Tetkik ve Arama Genel Müdürlüğünce (MTA) yürütülen ""Müze Araştırma Projesi"" kapsamında yapılan kazıda, 28 milyon yıllık olduğu değerlendirilen dev gergedan fosiline ait yeni parçalar bulundu.",Kültür Sanat
677,"""Anadolu Leoparı"", Hollanda'da 'En İyi Film' ödülüne layık görüldü","Hollanda'da bu yıl 9’uncusu düzenlenen Kırmızı Lale Film Festivali'nde (RTFF), Emre Kayış’ın yönettiği 2021 yapımı “Anadolu Leoparı"", ""En İyi Film"" ödülünü kazandı.",Kültür Sanat
678,Yurt dışı temsilciliklerde Türk kahvaltısı etkinlikleri düzenlendi,"Haziran ayının ilk pazar günü, Dünya Kahvaltı Günü... Bu kapsamda Pekin, Bakü ve Berlin'deki temsilciliklerde Türk kahvaltısı etkinliği düzenlendi. Türk kahvaltısında yer alan geleneksel lezzetler konuklara ikram edildi.",Kültür Sanat
679,Prof. Dr. Zafer Toprak vefat etti,"Türk tarihçiliğinin önemli isimlerinden Prof. Dr. Zafer Toprak, 77 yaşında hayatını kaybetti.",Kültür Sanat
680,2 bin yıllık antik çeşme 13 asır sonra yeniden suya kavuştu,"Burdur'un Gölhisar ilçesindeki Kibyra Antik Kenti'nde 2 bin yıl önce inşa edilip, 7. yüzyıla kadar kullanıldığı belirlenen çeşme, restore edilerek yeniden suya kavuştu.",Kültür Sanat
681,Malatya'da yaşadığı konteyner kentte resim sergisi açtı,"Kahramanmaraş merkezli 6 Şubat depremlerinin büyük yıkıma neden olduğu Malatya'da yaşayan 15 yaşındaki lise öğrencisi Çiğdem İyem, ailesiyle barındığı Teknokent Geçici Konaklama Merkezi'nde resim sergisi açtı.",Kültür Sanat
682,44. Telly Ödülleri'nden TRT World Dijital'e 4 ödül,Bu yıl 44'üncüsü düzenlenen Yıllık Telly Ödülleri'nde TRT World Dijital 4 ödüle layık görüldü.,Kültür Sanat
683,Bu hafta 7 film vizyona girecek,Türkiye'deki sinema salonlarında bu hafta biri yerli 7 film vizyona girecek.,Kültür Sanat
684,Depremde hasar alan Balıklıgöl yeni görünümüne kavuşuyor,"Kahramanmaraş merkezli depremler ve sel felaketinden etkilenen Şanlıurfa'daki tarihi Balıklıgöl Yerleşkesi, altyapı ve restorasyon çalışmalarıyla yeni görünümüne kavuşuyor.",Kültür Sanat
685,Türk resim sanatının yüzyıllık serüveni Ankara'daki panelde ele alınacak,"Sanatçıların gözüyle Ankara resimleri ve Tanzimat'tan Cumhuriyet dönemine Türk resim sanatındaki gelişmeler ""Güzel Bir Öykü: Türk Resim Sanatı"" panelinde konuşulacak.",Kültür Sanat
686,Şair Cengiz Numanoğlu hayatını kaybetti,"Şair Cengiz Numanoğlu, 82 yaşında hayatını kaybetti.",Kültür Sanat
687,Topkapı Sarayı FPV dron ile görüntülendi,"Büyük avlular, hizmet binaları, peygamberlere ait eşyalar, Kaşıkçı Elması... Topkapı Sarayı ve ""Mukaddes Emanetler"" FPV dron ile görüntülendi.",Kültür Sanat
688,Merve Dizdar Cannes Film Festivali'nde en iyi kadın oyuncu ödülünü aldı,Cannes'dan TRT yapımı filme ödül. Cannes Film Festivali'nde Merve Dizdar Kuru Otlar Üstüne filmindeki rolüyle en iyi kadın oyuncu ödülüne layık görüldü.,Kültür Sanat
689,Tescilli lezzet: Tokat kebabı,"Tokat'ın yaylalarında otlatılan kuzuların eti ve verimli ovalarında yetiştirilen sebzelerin aynı şişte pişirilmesiyle yapılan, coğrafi işaretli Tokat kebabı, kentin en önemli lezzetleri arasında bulunuyor.",Kültür Sanat
690,Bu hafta 7 film vizyona girecek,"Sinema salonlarında bu hafta üçü yerli, 7 film vizyona girecek.",Kültür Sanat
